,Star ID,RA,DE,Magnitude
14818,14818,2.40161894,1.07566198,5.2
14907,14907,2.4766633,1.10447882,3.8
14965,14965,2.522009,1.21242079,5.7
15134,15134,2.68094623,1.14072577,5.7
15146,15146,2.69337036,1.2042751,5.8
15162,15162,2.70766294,1.14877799,4.9
15199,15199,2.73574216,1.1259997,6.0
15259,15259,2.78500932,1.19913404,5.9
15260,15260,2.78622785,1.15154987,5.1
15268,15268,2.79042224,1.21018406,5.2
15272,15272,2.79746457,1.20495345,5.9
15383,15383,2.88267088,1.08247647,2.0
15485,15485,2.96662915,1.1275591,6.0
15519,15519,2.99425793,1.08298756,5.9
15531,15531,3.00396952,1.21487565,4.1
15541,15541,3.00863537,1.07092836,5.5
15566,15566,3.02438609,1.21477132,5.4
15605,15605,3.05302375,1.16974963,5.5
15815,15815,-3.01972249,1.21261981,5.3
15870,15870,-2.96973138,1.0993349,5.9
15900,15900,-2.9444268,1.10049263,5.8
15901,15901,-2.94290182,1.17047025,5.7
15906,15906,-2.93875462,1.05753446,5.9
15940,15940,-2.90819456,1.1468446,5.3
15959,15959,-2.8883706,1.16704296,5.5
15961,15961,-2.88052513,1.11489121,6.0
16079,16079,-2.76364822,1.05075061,5.4
16141,16141,-2.70551646,1.13576201,5.7
16185,16185,-2.66978164,1.07753278,6.0
16198,16198,-2.66175625,1.13393629,4.8
16272,16272,-2.60476115,1.12773272,3.6
16304,16304,-2.56942696,1.21591742,5.4
16405,16405,-2.48894626,1.10664754,6.0
16557,16557,-2.37024423,1.1542065,4.9
16573,16573,-2.35499312,1.05418614,5.9
16659,16659,-2.294873,1.17873065,5.2
16711,16711,-2.26158484,1.08602284,5.8
16712,16712,-2.261084,1.10862349,5.8
16753,16753,-2.22433915,1.1235813,5.9
16793,16793,-2.19256601,1.21203658,5.9
16847,16847,-2.1559306,1.09525742,5.1
16961,16961,-2.06743791,1.18580724,5.4
17061,17061,-1.99877883,1.20820607,5.4
17072,17072,-1.99353187,1.07878636,5.6
17073,17073,-1.99269505,1.07559357,2.9
17106,17106,-1.97191923,1.20211889,5.0
17129,17129,-1.95601194,1.063388,5.9
17187,17187,-1.91739362,1.1289415,5.0
