,Star ID,RA,DE,Magnitude
129824,129824,0.5969786,-0.05591545,2.0
131793,131793,1.33251271,-0.08987738,2.9
131906,131906,1.36193787,-0.14412856,0.3
132219,132219,1.43749805,-0.00583914,2.5
132322,132322,1.45292305,-0.10369321,2.9
132345,132345,1.45593011,-0.02150779,1.8
132443,132443,1.47582446,-0.03433926,2.0
132541,132541,1.50702004,-0.16905186,2.2
136870,136870,2.46584415,-0.14732261,2.2
138916,138916,-2.97088112,-0.02051528,2.9
140429,140429,-2.29374573,-0.1605651,2.7
141051,141051,-2.04324786,-0.06225691,3.0
147419,147419,0.17924612,-0.3187106,2.2
150546,150546,1.44217968,-0.3116585,2.7
151427,151427,1.66022911,-0.3129338,2.0
151880,151880,1.75818019,-0.29053124,-1.6
157175,157175,-3.08386276,-0.30132062,2.8
157922,157922,-2.78137843,-0.19025718,1.2
158839,158839,-2.40808552,-0.27637575,2.9
159681,159681,-2.0833772,-0.34330845,2.9
160005,160005,-1.94428682,-0.18269142,2.7
160331,160331,-1.79983726,-0.27340045,2.6
164643,164643,-0.59217624,-0.28545064,3.0
170456,170456,1.42288622,-0.36299406,3.0
172675,172675,1.81802128,-0.5044498,1.6
173046,173046,1.86033452,-0.45924151,2.0
173650,173650,1.92909585,-0.50971391,2.4
175216,175216,2.11801675,-0.42165361,2.9
180914,180914,-3.00303227,-0.40352788,2.8
183986,183986,-2.11262644,-0.45329178,3.0
184013,184013,-2.10586205,-0.39236635,2.5
184414,184414,-1.97947927,-0.4594189,1.1
184480,184480,-1.95143038,-0.49068264,2.9
186680,186680,-1.49316161,-0.52100347,2.8
186840,186840,-1.46221801,-0.44420656,2.9
187447,187447,-1.3431816,-0.46007989,2.1
187599,187599,-1.31147733,-0.52278812,2.7
187755,187755,-1.27936634,-0.36834927,3.0
191523,191523,-0.28408643,-0.52163911,1.3
196058,196058,1.47409135,-0.59515112,2.8
197794,197794,1.89968545,-0.64588769,2.7
198751,198751,2.10236195,-0.69571166,2.3
204370,204370,-2.80222189,-0.63615734,2.9
205187,205187,-2.60171308,-0.63049845,2.3
208077,208077,-1.88966753,-0.59697804,2.4
208895,208895,-1.71321068,-0.65027366,2.8
208953,208953,-1.70077783,-0.64698206,1.7
209162,209162,-1.66231353,-0.68078875,2.5
210090,210090,-1.47980736,-0.60057235,2.0
215092,215092,0.10392193,-0.74311538,2.4
219503,219503,2.12926278,-0.82359329,1.9
220877,220877,2.38305147,-0.7545039,2.2
222320,222320,2.81265759,-0.85792464,2.8
223602,223602,-2.97252129,-0.84971995,2.4
225043,225043,-2.47696356,-0.73198028,2.6
225127,225127,-2.44960378,-0.82335578,2.9
225334,225334,-2.37693575,-0.74933801,2.8
225937,225937,-2.21744153,-0.7155897,3.0
228068,228068,-1.71054243,-0.86985082,3.0
228200,228200,-1.68545202,-0.74993477,2.0
230991,230991,-0.50138321,-0.8238659,2.2
231257,231257,-0.35041534,-0.82286553,2.2
232480,232480,0.41824686,-1.0033943,0.6
234479,234479,1.6704614,-0.91922347,-0.9
234734,234734,1.78326712,-0.88233904,2.8
235931,235931,2.18816168,-1.03581888,1.7
236231,236231,2.28342751,-0.95163234,2.0
236807,236807,2.42492476,-1.03087727,2.3
236890,236890,2.44592282,-0.95637886,2.6
237066,237066,2.48579036,-0.99157779,3.0
239688,239688,-3.11647111,-0.88041355,2.9
240018,240018,-3.01776685,-0.99193039,1.6
240258,240258,-2.9461858,-1.03699964,1.5
241046,241046,-2.71963588,-0.92873978,2.6
244724,244724,-1.74036495,-0.96839647,2.8
246573,246573,-0.95249242,-0.99304396,2.1
248473,248473,0.51135989,-1.07883378,3.0
250494,250494,2.41143867,-1.21319596,1.8
251082,251082,2.79762114,-1.11931533,3.0
251903,251903,-3.0377409,-1.09645186,1.6
251973,251973,-2.99246204,-1.20183775,2.9
252581,252581,-2.61679324,-1.0495154,0.9
252837,252837,-2.4600959,-1.0581972,0.1
253345,253345,-2.13490273,-1.10441812,3.0
253699,253699,-1.90524074,-1.20321006,1.9
255192,255192,-0.45773514,-1.05609403,2.9
255669,255669,0.10103813,-1.35325316,2.9
